filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06654-1221,5,23,male,0,0,0,0,0.001,0.936,0.061,0.001,35.67124861,139.7047053,237,35,ìy,2019/12/21,2,1,0,161.9,4.01988045,2
DSD06654-1221,6,38,female,0,0,0,0,0.001,0.99,0.009,0,35.67124861,139.7047053,140,35,ìy,2019/12/21,2,0,0,153.8,6.443333333,2
DSD06655-1221,1,15,female,0.001,0,0,0.001,0,0.926,0.052,0.019,35.67127028,139.704755,402,35,ìy,2019/12/21,2,0,0,153.8,2.266757877,2
DSD06655-1221,2,20,female,0,0.001,0,0,0,0.983,0.007,0.008,35.67127028,139.704755,379,35,ìy,2019/12/21,2,0,0,153.8,2.402194371,2
DSD06655-1221,3,24,female,0,0,0,0,0,0.945,0.034,0.02,35.67127028,139.704755,352,35,ìy,2019/12/21,2,0,0,153.8,2.583768939,2
DSD06655-1221,4,21,female,0.002,0,0,0,0.001,0.994,0.002,0,35.67127028,139.704755,228,35,ìy,2019/12/21,2,0,0,153.8,3.96994152,2
DSD06655-1221,5,20,female,0,0.002,0,0,0.013,0.954,0.031,0,35.67127028,139.704755,222,35,ìy,2019/12/21,2,0,0,153.8,4.076291291,2
DSD06655-1221,6,18,female,0,0,0,0,0,0.995,0.005,0,35.67127028,139.704755,175,35,ìy,2019/12/21,2,0,0,153.8,5.161666667,2
DSD06656-1221,1,25,female,0,0,0,0,0,0.973,0,0.027,35.67118692,139.704886,337,35,ìy,2019/12/21,2,0,0,153.8,2.697215628,2
DSD06656-1221,2,19,male,0,0,0,0,0,0.998,0.002,0,35.67118692,139.704886,330,35,ìy,2019/12/21,2,1,0,161.9,2.896868687,2
DSD06656-1221,3,28,male,0,0,0,0,0,0.985,0.013,0.001,35.67118692,139.704886,137,35,ìy,2019/12/21,2,1,0,161.9,6.928552311,2
DSD06656-1221,4,20,female,0,0,0,0,0.975,0.025,0,0,35.67118692,139.704886,112,35,ìy,2019/12/21,2,0,1,153.8,8.045416667,2
DSD06656-1221,5,17,female,0,0,0,0,0,0.999,0,0,35.67118692,139.704886,93,35,ìy,2019/12/21,2,0,0,153.8,9.681953405,2
DSD06656-1221,6,4,female,0.005,0,0,0,0.181,0.793,0.019,0.001,35.67118692,139.704886,79,35,ìy,2019/12/21,2,0,0,153.8,11.39154008,2
